역명,자치구
가락시장,송파구
가산디지털단지,금천구
가양,강서구
가오리,강북구
가좌,서대문구
강남,강남구
강남구청,강남구
강동,강동구
강동구청,강동구
강변(동서울터미널),광진구
강일,강동구
개롱,송파구
개봉,구로구
개포동,강남구
개화,강서구
개화산,강서구
거여,송파구
건대입구,광진구
경복궁(정부서울청사),종로구
경찰병원,송파구
고덕,강동구
고려대(종암),성북구
고속터미널,서초구
공덕,마포구
공릉(서울과학기술대),노원구
공항시장,강서구
광나루(장신대),광진구
광운대,노원구
광화문(세종문화회관),종로구
광흥창(서강),마포구
교대(법원.검찰청),서초구
구로,구로구
구로디지털단지,구로구
구룡,강남구
구반포,서초구
구산,은평구
구의(광진구청),광진구
구일,구로구
구파발,은평구
국회의사당,영등포구
군자(능동),광진구
굽은다리(강동구민회관앞),강동구
금천구청,금천구
금호,성동구
길동,강동구
길음,성북구
김포공항,강서구
까치산,강서구
낙성대,관악구
낙성대(강감찬),관악구
남구로,구로구
남부터미널(예술의전당),서초구
남성,동작구
남영,용산구
남태령,서초구
내방,서초구
노들,동작구
노량진,동작구
노원,노원구
녹번,은평구
녹사평(용산구청),용산구
녹천,노원구
논현,강남구
답십리,동대문구
당고개,노원구
당산,영등포구
대림(구로구청),구로구
대모산입구,강남구
대방,영등포구
대청,강남구
대치,강남구
대흥(서강대앞),마포구
도곡,강남구
도림천,구로구
도봉,도봉구
도봉산,도봉구
독립문,종로구
독바위,은평구
독산,금천구
돌곶이,성북구
동대문,종로구
동대문역사문화공원,중구
동대문역사문화공원(DDP),중구
동대입구,중구
동묘앞,종로구
동작(현충원),동작구
둔촌동,강동구
둔촌오륜,송파구
등촌,양천구
디지털미디어시티,은평구
뚝섬,성동구
뚝섬유원지,광진구
마곡,강서구
마곡나루,강서구
마곡나루(서울식물원),강서구
마들,노원구
마장,성동구
마천,송파구
마포,마포구
마포구청,마포구
망우,중랑구
망원,마포구
매봉,강남구
먹골,중랑구
면목,중랑구
명동,중구
명일,강동구
목동,양천구
몽촌토성(평화의문),송파구
무악재,서대문구
문래,영등포구
문정,송파구
미아(서울사이버대학),강북구
미아사거리,강북구
반포,서초구
발산,강서구
방배,서초구
방이,송파구
방학,도봉구
방화,강서구
버티고개,중구
보라매,동작구
보문,성북구
복정,송파구
봉은사,강남구
봉천,관악구
봉화산(서울의료원),중랑구
북한산보국문,성북구
북한산우이,강북구
불광,은평구
사가정,중랑구
사당,서초구
사평,서초구
삼각지,용산구
삼성(무역센터),강남구
삼성중앙,강남구
삼양,강북구
삼양사거리,강북구
삼전,송파구
상계,노원구
상도,동작구
상봉(시외버스터미널),중랑구
상수,마포구
상왕십리,성동구
상월곡(한국과학기술연구원),성북구
상일동,강동구
새절(신사),은평구
샛강,영등포구
서강대,마포구
서대문,서대문구
서빙고,용산구
서울대입구(관악구청),관악구
서울숲,성동구
서울역,용산구
서초,서초구
석계,성북구
석촌,송파구
석촌고분,송파구
선릉,강남구
선유도,영등포구
선정릉,강남구
성수,성동구
성신여대입구(돈암),성북구
솔샘,강북구
솔밭공원,강북구
송정,강서구
송파,송파구
송파나루,송파구
수락산,노원구
수색,은평구
수서,강남구
수유(강북구청),강북구
숙대입구(갈월),용산구
숭실대입구(살피재),동작구
시청,중구
신금호,성동구
신길,영등포구
신내,중랑구
신논현,강남구
신답,성동구
신당,중구
신대방,관악구
신대방삼거리,동작구
신도림,구로구
신림,관악구
신목동,양천구
신반포,서초구
신방화,강서구
신사,강남구
신설동,동대문구
신용산,용산구
신이문,동대문구
신정(은행정),양천구
신정네거리,양천구
신촌(2),서대문구
신촌(경),서대문구
신풍,영등포구
쌍문,도봉구
아차산(어린이대공원후문),광진구
아현,서대문구
안국,종로구
안암(고대병원앞),성북구
암사,강동구
압구정,강남구
압구정로데오,강남구
애오개,마포구
약수,중구
양원,중랑구
양재(서초구청),서초구
양천구청,양천구
양천향교,강서구
양평(5),영등포구
어린이대공원(세종대),광진구
언주,강남구
여의나루,영등포구
여의도,영등포구
역삼,강남구
역촌,은평구
연신내,은평구
염창,강서구
영등포,영등포구
영등포구청,영등포구
영등포시장,영등포구
오금,송파구
오류동,구로구
오목교(목동운동장앞),양천구
옥수,성동구
온수(성공회대입구),구로구
올림픽공원(한국체대),송파구
왕십리(성동구청),성동구
외대앞,동대문구
용답,성동구
용두(동대문구청),동대문구
용마산,중랑구
용마산(용마폭포공원),중랑구
용산,용산구
우장산,강서구
월계,노원구
월곡(동덕여대),성북구
월드컵경기장(성산),마포구
을지로입구,중구
을지로3가,중구
을지로4가,중구
응봉,성동구
응암,은평구
이대,마포구
이수,서초구
이촌(국립중앙박물관),용산구
이태원,용산구
일원,강남구
잠실(송파구청),송파구
잠실나루,송파구
잠실새내,송파구
잠원,서초구
장승배기,동작구
장지,송파구
장한평,성동구
정릉,성북구
제기동,동대문구
종각,종로구
종로3가,종로구
종로5가,종로구
종합운동장,송파구
중계,노원구
중곡,광진구
중랑,중랑구
중앙보훈병원,강동구
중화,중랑구
증미,강서구
증산(명지대앞),은평구
창동,도봉구
창신,종로구
천왕,구로구
천호(풍납토성),강동구
청구,중구
청담,강남구
청량리(서울시립대입구),동대문구
충무로,중구
충정로(경기대입구),서대문구
태릉입구,노원구
하계,노원구
학동,강남구
학여울,강남구
한강진,용산구
한남,용산구
한성대입구(삼선교),성북구
한성백제,송파구
한양대,성동구
한티,강남구
합정,마포구
행당,성동구
혜화,종로구
홍대입구,마포구
홍제,서대문구
화계,강북구
화곡,강서구
화랑대(서울여대입구),노원구
회기,동대문구
회현(남대문시장),중구
효창공원앞,용산구
흑석(중앙대입구),동작구
